Tstamp	w2	w3	w4	w5	w6	w7	w8	Humidity_Min	Module_Temp1	Wind_Direction	Wind_Speed	Ambient_Temp	Module_Temp2_Actual	Humidity_Max	Humidity_Actual	Ambient_Temp_Min	Ambient_Temp_Max	Ambient_Temp_Avg	Global_Irradiation_Min	Irradiation_Tilt1_Actual	Irradiation_Tilt2_Actual	w1	Global_Irradiation_Max	Global_Irradiation_Avg	Wind_Speed_Min	Wind_Speed_Max	Humidity_Avg	Wind_Direction_Min	Wind_Direction_Max	Wind_Speed_Avg	Global_Irradiation_Actual	w33	Rain	Room_Temperature
2018-12-08 00:00:09	1.0	CT08	1.0	2018-12-08 00:00:09	0.0	37	3.0	NULL	61.600336659853	0.0	0.0	21.105346679687	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	38.57421875	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:01:28	1.0	CT08	1.0	2018-12-08 00:01:28	0.0	36	3.0	NULL	61.65143681616	0.0	0.0	21.102294921875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	38.75732421875	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:02:48	1.0	CT08	1.0	2018-12-08 00:02:48	0.0	3C	3.0	NULL	61.62738968378	0.0	0.0	21.12060546875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	38.818359375	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:04:09	1.0	CT08	1.0	2018-12-08 00:04:09	0.0	36	3.0	NULL	61.66346038234901	0.0	0.0	21.102294921875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	39.306640625	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:05:28	1.0	CT08	1.0	2018-12-08 00:05:28	0.0	30	3.0	NULL	61.87387279066999	0.0	0.0	21.083984375	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	39.24560546875	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:06:48	1.0	CT08	1.0	2018-12-08 00:06:48	0.0	24	3.0	NULL	61.933990621618	0.0	0.0	21.04736328125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	39.48974609375	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:08:09	1.0	CT08	1.0	2018-12-08 00:08:09	0.0	21	3.0	NULL	62.08428519899	0.0	0.0	21.038208007812	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	39.48974609375	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:09:27	1.0	CT08	1.0	2018-12-08 00:09:27	0.0	2A	3.0	NULL	61.819766742816	0.0	0.0	21.065673828125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	39.4287109375	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:10:47	1.0	CT08	1.0	2018-12-08 00:10:47	0.0	2F	3.0	NULL	61.73259588794001	0.0	0.0	21.080932617187	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	39.48974609375	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2018-12-08 00:12:08	1.0	CT08	1.0	2018-12-08 00:12:08	0.0	32	3.0	NULL	61.798725501983995	0.0	0.0	21.090087890625	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	39.24560546875	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
