Tstamp	Inverter_Id	Fb_Id	DTT	Device_Time	SES	Salve_Id	Function_Code	AC_Voltage_Line1	AC_Voltage_Line2	AC_Voltage_Line3	AC_Current_Line1	AC_Current_Line2	AC_Current_Line3	AC_Power	AC_Power_Percentage	AC_Frequency	Power_Factor	Reactive_Power	DC_Current	DC_Power	Inverter_Temprature	Time_Of_Use_Today	Time_Of_Use_Life	Energy_Produced	KWH_Counter	MWH_Counter	GWH_Counter	DC_Voltage	Inverter_Status	Energy_Generated_Today	Id	Total_Energy_Generated_Till	Inverter_Communication_Status	AC_Power_2	AC_Power_3	AC_Frequency_2	AC_Frequency_3	DC_Voltage_2	DC_Power_2	DC_Current_2	Plant_Id	Inv_Status_Word	Grid_Conn_Status	AC_Current_Totoal	AC_Volatge_RY	AC_Volatge_YB	AC_Volatge_BR	Apparent_Power	Event_Flag_1	Event_Flag_2	Event_Flag_3	Event_Flag_4	Coolent_Temp
2018-12-17 07:39:52	2.0	CT08	1.0	2018-12-17 07:39:52	0.0	1.0	3.0	242.9	240.1	241.6	3.77	3.76	3.74	2240.0	NULL	49.93600000000001	1.0	10.0	3.42	2350.0	28.0	NULL	NULL	NULL	NULL	NULL	NULL	686.8	60.0	NULL	NULL	144694995.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	11.27	418.5	416.9	420.0	2240.0	0.0	0.0	0.0	0.0	23.0
2018-12-17 07:41:11	2.0	CT08	1.0	2018-12-17 07:41:11	0.0	1.0	3.0	243.4	240.6	242.0	4.34	4.33	4.32	2730.0	NULL	49.961000000000006	1.0	0.0	4.04	2850.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	706.0	60.0	NULL	NULL	144695050.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	12.99	419.4	417.7	420.7	2730.0	0.0	0.0	0.0	0.0	24.0
2018-12-17 07:42:31	2.0	CT08	1.0	2018-12-17 07:42:31	0.0	1.0	3.0	244.0	240.9	242.7	5.73	5.73	5.72	3870.0	NULL	50.027	1.0	0.0	5.56	4030.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	724.8	60.0	NULL	NULL	144695123.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	17.18	420.4	418.4	421.8	3870.0	0.0	0.0	0.0	0.0	24.0
2018-12-17 07:43:51	2.0	CT08	1.0	2018-12-17 07:43:51	0.0	1.0	3.0	244.4	241.2	243.1	7.0	7.01	7.0	4850.0	NULL	50.038999999999994	1.0	0.0	6.81	5000.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	734.4	60.0	NULL	NULL	144695221.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	21.01	421.0	419.1	422.5	4850.0	0.0	0.0	0.0	0.0	24.0
2018-12-17 07:45:11	2.0	CT08	1.0	2018-12-17 07:45:11	0.0	1.0	3.0	244.8	241.5	243.5	7.4	7.39	7.38	5160.0	NULL	50.05	1.0	-10.0	7.21	5310.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	736.9	60.0	NULL	NULL	144695333.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	22.17	421.4	419.6	423.2	5160.0	0.0	0.0	0.0	0.0	25.0
2018-12-17 07:46:31	2.0	CT08	1.0	2018-12-17 07:46:31	0.0	1.0	3.0	244.2	240.6	242.9	7.53	7.52	7.51	5240.0	NULL	49.988	1.0	0.0	7.34	5400.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	735.6	60.0	NULL	NULL	144695449.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	22.56	420.1	418.2	422.3	5240.0	0.0	0.0	0.0	0.0	25.0
2018-12-17 07:47:50	2.0	CT08	1.0	2018-12-17 07:47:50	0.0	1.0	3.0	243.9	240.8	242.6	6.19	6.17	6.17	4210.0	NULL	49.931999999999995	1.0	0.0	6.0	4350.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	724.4	60.0	NULL	NULL	144695554.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	18.53	420.2	418.3	421.7	4210.0	0.0	0.0	0.0	0.0	25.0
2018-12-17 07:49:11	2.0	CT08	1.0	2018-12-17 07:49:11	0.0	1.0	3.0	243.0	239.9	241.9	7.42	7.46	7.43	5150.0	NULL	49.901	1.0	-10.0	7.24	5300.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	731.9	60.0	NULL	NULL	144695651.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	22.31	418.6	417.0	420.1	5150.0	0.0	0.0	0.0	0.0	26.0
2018-12-17 07:50:31	2.0	CT08	1.0	2018-12-17 07:50:31	0.0	1.0	3.0	243.5	240.2	242.2	8.96	8.96	8.94	6300.0	NULL	49.888999999999996	1.0	0.0	8.88	6450.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	726.9	60.0	NULL	NULL	144695781.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	26.86	419.3	417.4	420.9	6300.0	0.0	0.0	0.0	0.0	26.0
2018-12-17 07:51:50	2.0	CT08	1.0	2018-12-17 07:51:50	0.0	1.0	3.0	243.4	239.7	242.1	9.78	9.79	9.77	6910.0	NULL	49.88	1.0	0.0	9.52	7080.0	29.0	NULL	NULL	NULL	NULL	NULL	NULL	743.6	60.0	NULL	NULL	144695926.0	0.0	NULL	NULL	NULL	NULL	0.0	0.0	0.0	4.0	NULL	60.0	29.34	418.6	416.9	420.8	6910.0	0.0	0.0	0.0	0.0	26.0
