Tstamp	w2	w3	w4	w5	w6	w7	w8	Humidity_Min	Module_Temp1	Wind_Direction	Wind_Speed	Ambient_Temp	Module_Temp2_Actual	Humidity_Max	Humidity_Actual	Ambient_Temp_Min	Ambient_Temp_Max	Ambient_Temp_Avg	Global_Irradiation_Min	Irradiation_Tilt1_Actual	Irradiation_Tilt2_Actual	w1	Global_Irradiation_Max	Global_Irradiation_Avg	Wind_Speed_Min	Wind_Speed_Max	Humidity_Avg	Wind_Direction_Min	Wind_Direction_Max	Wind_Speed_Avg	Global_Irradiation_Actual	w33	Rain	Room_Temperature
2019-01-27 00:01:11	1.0	CT08	1.0	2019-01-27 00:01:11	0.0	A9	3	NULL	50.223037152820005	0.0	0.0	15.984497070311999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	47.30224609375	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:02:29	1.0	CT08	1.0	2019-01-27 00:02:29	0.0	A0	3	NULL	50.235060719009	0.0	0.0	15.95703125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	47.9736328125	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:03:48	1.0	CT08	1.0	2019-01-27 00:03:48	0.0	8A	3	NULL	50.956474690393	0.0	0.0	15.889892578125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	48.7060546875	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:05:08	1.0	CT08	1.0	2019-01-27 00:05:08	0.0	5F	3	NULL	51.386317181676	0.0	0.0	15.758666992186999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	49.4384765625	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:06:30	1.0	CT08	1.0	2019-01-27 00:06:30	0.0	3A	3	NULL	51.891306961645	0.0	0.0	15.645751953125	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	49.4384765625	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:07:53	1.0	CT08	1.0	2019-01-27 00:07:53	0.0	1F	3	NULL	51.954430684140995	0.0	0.0	15.563354492186999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	49.37744140625	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:09:10	1.0	CT08	1.0	2019-01-27 00:09:10	0.0	11	3	NULL	52.086689912228	0.0	0.0	15.520629882811999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	49.4384765625	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:10:30	1.0	CT08	1.0	2019-01-27 00:10:30	0.0	01	3	NULL	52.233978598052	0.0	0.0	15.471801757811999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	49.37744140625	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:11:49	1.0	CT08	1.0	2019-01-27 00:11:49	0.0	FD	3	NULL	52.053625105206	0.0	0.0	15.459594726561999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	48.9501953125	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:13:08	1.0	CT08	1.0	2019-01-27 00:13:08	0.0	FC	3	NULL	52.252013947337	0.0	0.0	15.45654296875	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	49.1943359375	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:14:32	1.0	CT08	1.0	2019-01-27 00:14:32	0.0	F3	3	NULL	52.363231934592	0.0	0.0	15.429077148436999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	49.01123046875	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:15:48	1.0	CT08	1.0	2019-01-27 00:15:48	0.0	EE	3	NULL	52.182878441746	0.0	0.0	15.413818359375	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	48.88916015625	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
2019-01-27 00:17:11	1.0	CT08	1.0	2019-01-27 00:17:11	0.0	EB	3	NULL	52.357220151497	0.0	0.0	15.404663085936999	NULL	NULL	99.996948242188	NULL	NULL	NULL	NULL	48.64501953125	0.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4.0	0.0	NULL
